X-axis,Y-axis
31.353.782.653.808.500,7.885.478.210.449.210
31.011.693.954.467.700,797.455.062.866.211
306.007.080.078.125,806.473.617.553.711
3.018.181.037.902.830,815.342.788.696.289
2.971.004.295.349.120,8.241.238.403.320.310
29.227.846.145.629.800,8.317.205.810.546.870
28.711.116.790.771.400,838.948.974.609.375
2.826.352.882.385.250,8.450.484.466.552.730
27.731.191.635.131.800,8.516.912.841.796.870
27.205.501.556.396.400,8.580.810.546.875
26.709.360.122.680.600,8.639.118.194.580.070
262.369.327.545.166,8.690.419.006.347.650
25.714.794.158.935.500,8.740.872.955.322.260
25.205.923.080.444.300,8.783.641.052.246.090
2.465.971.565.246.580,8.826.759.338.378.900
24.187.402.725.219.700,8.864.508.819.580.070
2.366.358.757.019.040,8.902.874.755.859.370
23.127.641.677.856.400,8.938.177.490.234.370
22.566.640.853.881.800,8.975.997.161.865.230
21.923.837.661.743.100,9.020.243.072.509.760
21.283.475.875.854.400,9.064.753.723.144.530
20.589.242.935.180.600,911.102.294.921.875
1.995.162.582.397.460,9.156.037.139.892.570
1.931.841.278.076.170,9.205.967.712.402.340
18.837.371.826.171.800,9.248.441.314.697.260
183.463.077.545.166,9.297.586.822.509.760
178.546.142.578.125,9.355.618.286.132.810
1.737.008.285.522.460,9.426.456.451.416.010
1.703.519.058.227.530,9.489.010.620.117.180
1.677.922.821.044.920,955.119.400.024.414
16.593.740.463.256.800,9.613.443.756.103.510
1.647.661.018.371.580,9.674.405.670.166.010
1.642.110.824.584.960,9.734.810.638.427.730
16.424.785.614.013.600,9.795.050.811.767.570
16.445.438.385.009.700,985.806.655.883.789
1.646.147.918.701.170,9.921.269.226.074.210
16.481.435.775.756.800,9.992.745.208.740.230
16.498.090.744.018.500,10.089.398.956.298.800
16.489.086.151.123.000,10.187.857.055.664.000
1.645.393.943.786.620,10.271.123.504.638.600
1.642.054.557.800.290,1.035.078.125
16.356.693.267.822.200,1.042.271.728.515.620
16.212.108.612.060.500,10.501.119.995.117.100
16.038.496.017.456.000,10.573.765.563.964.800
15.881.972.312.927.200,10.640.230.560.302.700
15.695.868.492.126.400,10.713.065.338.134.700
15.465.087.890.625,10.794.878.387.451.100
15.204.545.974.731.400,10.872.573.852.539.000
14.912.114.143.371.500,10.952.228.546.142.500
14.552.963.256.835.900,11.049.906.158.447.200
14.190.160.751.342.700,11.144.942.474.365.200
1.376.998.519.897.460,11.250.144.958.496.000
13.323.657.035.827.600,1.135.788.345.336.910
12.921.347.618.103.000,11.453.679.656.982.400
12.450.644.493.103.000,11.565.116.882.324.200
12.119.707.107.543.900,11.643.257.904.052.700
11.749.560.356.140.100,11.732.367.706.298.800
11.424.443.244.934.000,11.817.940.521.240.200
11.074.003.219.604.400,11.924.937.438.964.800
10.828.383.445.739.700,1.201.915.512.084.960
10.672.802.925.109.800,12.101.089.477.539.000
10.570.527.076.721.100,1.219.072.494.506.830
10.542.216.300.964.300,12.270.761.108.398.400
10.530.932.426.452.600,1.235.617.904.663.080
10.535.507.202.148.400,12.445.664.978.027.300
105.692.720.413.208,12.542.537.689.208.900
10.643.739.700.317.300,12.646.363.830.566.400
10.718.573.570.251.400,12.757.356.262.207.000
1.075.162.124.633.780,1.285.365.447.998.040
10.734.750.747.680.600,12.965.174.865.722.600
10.651.630.401.611.300,1.306.627.960.205.070
10.499.926.567.077.600,13.162.510.681.152.300
10.304.301.261.901.800,13.256.089.782.714.800
10.120.248.794.555.600,13.337.010.192.871.000
9.872.787.475.585.930,13.426.156.616.210.900
961.520.004.272.461,13.499.256.896.972.600
9.289.360.046.386.710,13.576.052.856.445.300
89.238.862.991.333,1.364.792.022.705.070
8.509.745.597.839.350,13.715.464.782.714.800
8.080.639.839.172.360,13.778.712.463.378.900
7.663.598.537.445.060,13.839.797.973.632.800
7.232.260.704.040.520,138.981.689.453.125
6.796.186.447.143.550,13.954.574.584.960.900
6.292.817.115.783.690,14.016.505.432.128.900
5.696.645.259.857.170,14.083.148.193.359.300
5.043.300.628.662.100,14.148.147.583.007.800
4.341.103.553.771.970,14.210.096.740.722.600
36.871.337.890.625,1.426.693.878.173.820
28.082.518.577.575.600,14.334.510.803.222.600
2.114.921.808.242.790,14.378.758.239.746.000
1.419.399.380.683.890,14.417.100.524.902.300
7.333.935.499.191.280,14.448.614.501.953.100
10.902.831.703.424.400,1.447.190.399.169.920
-49.146.971.106.529.200,14.493.971.252.441.400
-11.501.758.098.602.200,1.451.710.662.841.790
-1.889.223.575.592.040,1.454.140.625
-2.675.956.964.492.790,145.654.296.875
-3.565.737.247.467.040,14.589.291.381.835.900
-4.512.783.050.537.100,1.460.919.952.392.570
-5.468.393.325.805.660,14.623.622.131.347.600
-64.215.087.890.625,14.634.091.186.523.400
-7.355.710.506.439.200,14.643.797.302.246.000
-8.277.421.951.293.940,1.465.066.375.732.420
-9.134.657.859.802.240,1.465.539.093.017.570
-9.965.834.617.614.740,1.465.929.412.841.790
-10.695.929.527.282.700,14.662.513.732.910.100
-11.565.019.607.543.900,1.466.540.069.580.070
-1.234.695.816.040.030,1.466.428.680.419.920
-13.012.313.842.773.400,146.594.482.421.875
-13.685.783.386.230.400,14.649.888.610.839.800
-14.379.015.922.546.300,14.634.774.780.273.400
