,Tempo,Orientação,X,Y,V(x),V(y),w(z),A(x),A(y),N(z)
0,0.09502010000031955,2.6602354959873766e-08,4.882812390860636e-06,-1.9531249563442543e-05,-1.77696711034514e-06,-7.527926209149882e-05,1.1276357625433775e-09,-3.5923101677326486e-05,0.00024132071121130139,2.1523414162061272e-08
1,0.193576800000651,6.15407051982623e-08,9.765624781721272e-06,-1.9531249563442543e-05,-4.989948138245381e-06,-4.813978011952713e-05,1.0785695003789897e-08,-0.00013382082397583872,0.00023875708575360477,9.620207492844202e-07
2,0.27368020000092036,9.544900576834408e-08,1.4648437172581907e-05,-9.765624781721272e-06,-4.912519671051996e-06,-3.0106266422080807e-05,0.0,-4.4932829041499645e-05,0.00018518255092203617,-1.6166090972546954e-06
3,0.36721980000123494,1.3707662705030635e-07,1.4648437172581907e-05,-9.765624781721272e-06,0.0,-0.0,0.0,0.0,0.0,0.0
4,0.4597704000015462,1.3707662705030635e-07,1.4648437172581907e-05,-9.765624781721272e-06,-8.146320737978385e-07,-1.2221636325193685e-06,0.0,-8.8422981207259e-05,-0.0001326578640146181,0.0
5,0.5645752000018986,0.0010105729491778504,0.026958007365465164,-9.765624781721272e-06,0.6876200437545776,-3.9674639992881566e-05,0.0002796327171381563,8.462259292602539,-0.00043796843965537846,-0.0014756201999261975
6,0.6582506000022137,0.001125292008570868,0.1460546851158142,-1.9531249563442543e-05,1.6741842031478882,0.0004383391933515668,-0.00016830112144816667,9.956786155700684,-0.01375554408878088,0.006329438649117947
7,0.7549396000025388,0.001184842928840774,0.36033689975738525,-9.765624781721272e-06,2.6706886291503906,0.0003129685646854341,-7.146817324610311e-07,10.97996997833252,0.004911972675472498,-0.005435294006019831
8,0.8519871000028651,0.001367458045641142,0.6730761528015137,-0.0,3.671285629272461,0.0002760301867965609,0.00010427349479869008,8.922276496887207,-0.0014159876154735684,-0.0020476398058235645
9,0.9462366000031822,0.0027095432143611486,1.0779833793640137,1.9531249563442543e-05,4.654013633728027,0.0003374097286723554,0.0010596925858408213,8.24057388305664,-0.0001673781662248075,0.021077115088701248
10,1.039204600003495,0.01564711466605643,1.5602294206619263,0.0007519531063735485,5.546616554260254,0.012403733097016811,0.000501292641274631,6.742396831512451,-0.003689356381073594,-0.1269659548997879
11,1.123742800003779,0.01598177226072762,2.068530321121216,0.0015332030598074198,6.408907413482666,0.007832810282707214,-1.0636681224696076e-07,8.082772254943848,-0.03236260637640953,-2.5090307076425233e-07
12,1.2306209000041386,0.016134152515286507,2.8123388290405273,0.0021875000093132257,7.497029781341553,0.0051696524024009705,0.00014315589214675128,8.897916793823242,-0.0054448978044092655,0.012829416431486607
13,1.3274881000044643,0.087961459275929,3.589487314224243,0.006953124888241291,8.357025146484375,0.12356971204280853,0.03183524310588837,5.289677143096924,2.089911937713623,0.22811023890972137
14,1.4402959000048436,1.3144245577441325,4.591040134429932,0.04466796666383743,8.895733833312988,0.33024027943611145,0.24626317620277405,1.4845854043960571,-4.139601230621338,4.382863521575928
15,1.5366719000051678,2.1520597761435636,5.428105354309082,0.0710742175579071,8.78799819946289,0.2996380031108856,0.08479658514261246,-1.7925132513046265,0.6293383240699768,-1.948552131652832
16,1.6332851000054927,2.526395376380889,6.267509460449219,0.10390624403953552,8.881139755249023,0.3647584319114685,0.042954221367836,8.83962631225586,0.5129404067993164,-1.131394386291504
17,1.7372700000058423,2.801872507796551,7.263319969177246,0.1469140648841858,9.971755981445312,0.46801337599754333,0.02251558192074299,8.418282508850098,2.534416675567627,-0.8131825923919678
18,1.8336000000061663,2.8466496728625375,8.27176284790039,0.19651366770267487,10.638349533081055,0.5369205474853516,0.0026901732198894024,3.4074721336364746,0.17741133272647858,-0.04526204243302345
19,1.9269768000064804,2.8491560590705167,9.267060279846191,0.24635741114616394,10.649083137512207,0.5311517715454102,-0.0003866814076900482,-1.6758010387420654,-0.10855706036090851,-0.012917027808725834
20,2.035389700006845,2.866688630684031,10.389052391052246,0.3035058379173279,10.367682456970215,0.5870504379272461,0.02934841625392437,-3.08070707321167,3.4982316493988037,1.9516113996505737
21,2.1334354000071745,3.8398756974360753,11.372587203979492,0.3868066370487213,10.052807807922363,1.0425304174423218,0.23498643934726715,-2.820758819580078,3.935953378677368,0.5723124742507935
22,2.229821100007499,5.505147867798299,12.3276948928833,0.4845214784145355,9.750267028808594,0.9286850690841675,0.16353864967823029,-1.9693275690078735,-0.15135164558887482,-6.664482593536377
23,2.3130531000077785,6.2985439939725225,13.142617225646973,0.5655273199081421,9.494894981384277,0.9956399202346802,0.10932066291570663,-2.847020149230957,1.0161914825439453,1.7552241086959839
24,2.4067429000080938,6.660710208855956,14.01708984375,0.6622949242591858,9.217577934265137,1.052696704864502,0.023638783022761345,-1.9391000270843506,0.16951102018356323,-1.066688060760498
25,2.5006365000084094,6.736785886778206,14.87142562866211,0.7617577910423279,8.963173866271973,1.051371455192566,0.001862448058091104,-2.131497859954834,-0.17011694610118866,-0.1252879649400711
26,2.5850610000086935,6.752219810881169,15.646410942077637,0.8533984422683716,9.582083702087402,1.1523542404174805,0.010373684577643871,9.58141803741455,2.5077524185180664,0.6488975882530212
27,2.6802258000090133,7.293229867644702,16.605327606201172,0.9870507717132568,10.344762802124023,1.5872083902359009,0.16870826482772827,4.263904094696045,4.70526123046875,5.87821626663208
28,2.7808212000093517,9.176010939717475,17.646488189697266,1.1772558689117432,10.569036483764648,2.0795137882232666,0.3151685893535614,0.9523740410804749,0.9245964288711548,-9.206995010375977
